"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	"hPa"	""	""	""	""	""
"02/23/2023 11:58'34"	"44980.4990046296"	"  21.9000"	"  86.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:58'44"	"44980.4991203704"	"  21.9000"	"  86.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:58'54"	"44980.4992361111"	"  21.9000"	"  86.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:59'04"	"44980.4993518519"	"  21.9000"	"  86.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:59'14"	"44980.4994675926"	"  21.9000"	"  86.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:59'24"	"44980.4995833333"	"  21.9000"	"  86.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:59'34"	"44980.4996990741"	"  21.9000"	"  86.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:59'44"	"44980.4998148148"	"  21.9000"	"  86.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:59'54"	"44980.4999305556"	"  21.9000"	"  87.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 12:00'04"	"44980.5000462963"	"  21.9000"	"  87.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 12:00'14"	"44980.5001620370"	"  21.9000"	"  87.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:00'24"	"44980.5002777778"	"  21.9000"	"  87.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:00'34"	"44980.5003935185"	"  21.9000"	"  87.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:00'44"	"44980.5005092593"	"  21.9000"	"  87.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 12:00'54"	"44980.5006250000"	"  21.9000"	"  87.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 12:01'04"	"44980.5007407407"	"  21.9000"	"  87.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 12:01'14"	"44980.5008564815"	"  21.9000"	"  87.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 12:01'24"	"44980.5009722222"	"  21.9000"	"  87.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 12:01'34"	"44980.5010879630"	"  21.9000"	"  87.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 12:01'44"	"44980.5012037037"	"  21.9000"	"  87.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 12:01'54"	"44980.5013194444"	"  21.9000"	"  87.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 12:02'04"	"44980.5014351852"	"  21.9000"	"  87.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:02'14"	"44980.5015509259"	"  21.9000"	"  87.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:02'24"	"44980.5016666667"	"  21.9000"	"  87.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:02'34"	"44980.5017824074"	"  21.9000"	"  87.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:02'44"	"44980.5018981481"	"  21.9000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:02'54"	"44980.5020138889"	"  21.9000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:03'04"	"44980.5021296296"	"  21.9000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:03'14"	"44980.5022453704"	"  21.9000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:03'24"	"44980.5023611111"	"  21.9000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:03'34"	"44980.5024768519"	"  21.9000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:03'44"	"44980.5025925926"	"  21.9000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:03'54"	"44980.5027083333"	"  21.9000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:04'04"	"44980.5028240741"	"  21.9000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:04'14"	"44980.5029398148"	"  21.9000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:04'24"	"44980.5030555556"	"  21.8000"	"  89.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:04'34"	"44980.5031712963"	"  21.8000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:04'44"	"44980.5032870370"	"  21.8000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:04'54"	"44980.5034027778"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:05'04"	"44980.5035185185"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:05'14"	"44980.5036342593"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:05'24"	"44980.5037500000"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:05'34"	"44980.5038657407"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:05'44"	"44980.5039814815"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:05'54"	"44980.5040972222"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:06'04"	"44980.5042129630"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:06'14"	"44980.5043287037"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:06'24"	"44980.5044444444"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:06'34"	"44980.5045601852"	"  21.8000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:06'44"	"44980.5046759259"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:06'54"	"44980.5047916667"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:07'04"	"44980.5049074074"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:07'14"	"44980.5050231481"	"  21.8000"	"  89.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:07'24"	"44980.5051388889"	"  21.8000"	"  89.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:07'34"	"44980.5052546296"	"  21.8000"	"  89.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:07'44"	"44980.5053703704"	"  21.8000"	"  89.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:07'54"	"44980.5054861111"	"  21.8000"	"  89.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:08'04"	"44980.5056018519"	"  21.8000"	"  89.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:08'14"	"44980.5057175926"	"  21.8000"	"  89.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:08'24"	"44980.5058333333"	"  21.8000"	"  89.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:08'34"	"44980.5059490741"	"  21.8000"	"  89.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:08'44"	"44980.5060648148"	"  21.8000"	"  89.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:08'54"	"44980.5061805556"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:09'04"	"44980.5062962963"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:09'14"	"44980.5064120370"	"  21.8000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:09'24"	"44980.5065277778"	"  21.8000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:09'34"	"44980.5066435185"	"  21.8000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:09'44"	"44980.5067592593"	"  21.8000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:09'54"	"44980.5068750000"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:10'04"	"44980.5069907407"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:10'14"	"44980.5071064815"	"  21.8000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:10'24"	"44980.5072222222"	"  21.8000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:10'34"	"44980.5073379630"	"  21.8000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:10'44"	"44980.5074537037"	"  21.8000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:10'54"	"44980.5075694444"	"  21.8000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:11'04"	"44980.5076851852"	"  21.8000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:11'14"	"44980.5078009259"	"  21.8000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:11'24"	"44980.5079166667"	"  21.8000"	"  88.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 12:11'34"	"44980.5080324074"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:11'44"	"44980.5081481481"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:11'54"	"44980.5082638889"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:12'04"	"44980.5083796296"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:12'14"	"44980.5084953704"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:12'24"	"44980.5086111111"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:12'34"	"44980.5087268519"	"  21.9000"	"  87.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:12'44"	"44980.5088425926"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:12'54"	"44980.5089583333"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:13'04"	"44980.5090740741"	"  21.8000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:13'14"	"44980.5091898148"	"  21.9000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:13'24"	"44980.5093055556"	"  21.9000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:13'34"	"44980.5094212963"	"  21.9000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:13'44"	"44980.5095370370"	"  21.9000"	"  88.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:13'54"	"44980.5096527778"	"  21.9000"	"  88.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:14'04"	"44980.5097685185"	"  21.9000"	"  88.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:14'14"	"44980.5098842593"	"  21.9000"	"  88.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:14'24"	"44980.5100000000"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:14'34"	"44980.5101157407"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:14'44"	"44980.5102314815"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:14'54"	"44980.5103472222"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:15'04"	"44980.5104629630"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:15'14"	"44980.5105787037"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:15'24"	"44980.5106944444"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:15'34"	"44980.5108101852"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:15'44"	"44980.5109259259"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:15'54"	"44980.5110416667"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:16'04"	"44980.5111574074"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:16'14"	"44980.5112731481"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:16'24"	"44980.5113888889"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:16'34"	"44980.5115046296"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:16'44"	"44980.5116203704"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:16'54"	"44980.5117361111"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:17'04"	"44980.5118518519"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:17'14"	"44980.5119675926"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:17'24"	"44980.5120833333"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:17'34"	"44980.5121990741"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:17'44"	"44980.5123148148"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:17'54"	"44980.5124305556"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:18'04"	"44980.5125462963"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:18'14"	"44980.5126620370"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:18'24"	"44980.5127777778"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:18'34"	"44980.5128935185"	"  21.9000"	"  87.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:18'44"	"44980.5130092593"	"  21.9000"	"  87.0000"	"  1018.8000"	""	""	""	""	""	
"02/23/2023 12:18'54"	"44980.5131250000"	"  21.9000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:19'04"	"44980.5132407407"	"  22.0000"	"  86.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:19'14"	"44980.5133564815"	"  22.0000"	"  86.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:19'24"	"44980.5134722222"	"  22.0000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:19'34"	"44980.5135879630"	"  22.0000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:19'44"	"44980.5137037037"	"  22.0000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:19'54"	"44980.5138194444"	"  22.0000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:20'04"	"44980.5139351852"	"  22.0000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:20'14"	"44980.5140509259"	"  22.0000"	"  87.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:20'24"	"44980.5141666667"	"  22.0000"	"  87.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:20'34"	"44980.5142824074"	"  22.0000"	"  87.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:20'44"	"44980.5143981481"	"  22.0000"	"  87.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:20'54"	"44980.5145138889"	"  22.0000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:21'04"	"44980.5146296296"	"  22.0000"	"  87.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:21'14"	"44980.5147453704"	"  22.0000"	"  86.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:21'24"	"44980.5148611111"	"  22.0000"	"  86.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:21'34"	"44980.5149768519"	"  22.0000"	"  86.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:21'44"	"44980.5150925926"	"  22.0000"	"  86.0000"	"  1018.7000"	""	""	""	""	""	
"02/23/2023 12:21'54"	"44980.5152083333"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:22'04"	"44980.5153240741"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:22'14"	"44980.5154398148"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:22'24"	"44980.5155555556"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:22'34"	"44980.5156712963"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:22'44"	"44980.5157870370"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:22'54"	"44980.5159027778"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:23'04"	"44980.5160185185"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:23'14"	"44980.5161342593"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:23'24"	"44980.5162500000"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:23'34"	"44980.5163657407"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:23'44"	"44980.5164814815"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:23'54"	"44980.5165972222"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:24'04"	"44980.5167129630"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:24'14"	"44980.5168287037"	"  22.0000"	"  86.0000"	"  1018.5000"	""	""	""	""	""	
"02/23/2023 12:24'24"	"44980.5169444444"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
"02/23/2023 12:24'34"	"44980.5170601852"	"  22.0000"	"  86.0000"	"  1018.5000"	""	""	""	""	""	
"02/23/2023 12:24'44"	"44980.5171759259"	"  22.0000"	"  86.0000"	"  1018.5000"	""	""	""	""	""	
"02/23/2023 12:24'54"	"44980.5172916667"	"  22.0000"	"  86.0000"	"  1018.6000"	""	""	""	""	""	
